Year,Motherboard_Model,CPU,GPU,RAM_GB,Storage_GB,Price_PHP
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,512,63361.2
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 7900 XTX,64,2048,92595.44
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,16,512,26601.68
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 6700 XT,16,2048,51371.04
2021,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 7900 XTX,64,1024,107841.44
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,16,512,54083.12
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3070,16,1024,65018.24
2020,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,32,1024,37407.44
2024,MSI MPG Z690 EDGE,Intel i5-11400F,RX 7900 XTX,32,2048,87403.12
2020,ASRock X570 Phantom,Intel i5-11400F,RX 6700 XT,32,2048,44333.52
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,64,512,79321.76
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,16,512,50751.12
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,64,1024,131122.88
2021,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3070,64,1024,74467.12
2020,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3070,64,2048,78636.88
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,32,2048,108611.44
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3080,16,512,72934.4
2020,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3080,16,512,45498.88
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3070,64,1024,90273.12
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,32,512,45619.84
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RX 6700 XT,32,2048,59551.52
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,32,512,127267.84
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,16,512,26255.04
2021,ASUS TUF Gaming B660M,Intel i7-12700K,RX 7900 XTX,32,2048,82737.2
2020,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 6700 XT,32,2048,43768.48
2022,MSI MPG Z690 EDGE,Intel i5-11400F,RX 7900 XTX,64,512,89665.52
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,1024,75650.96
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,64,2048,66398.08
2022,ASRock X570 Phantom,Intel i7-12700K,RX 6700 XT,16,2048,47852.56
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,16,512,40297.6
2022,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 6700 XT,16,2048,47849.76
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3060,32,1024,41432.72
2021,MSI MPG Z690 EDGE,Intel i7-12700K,RX 6700 XT,16,512,39061.12
2023,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,16,2048,54890.64
2023,ASRock X570 Phantom,Intel i7-12700K,RTX 3080,64,2048,99354.08
2023,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,102071.76
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 7900 XTX,32,1024,97132
